	date	category	content	sentiment_score
0	2022-03-09	Finance	singapore billionaire ron sim revamps v3 group unit revives hong kong ipo ron sim revamped privately held v3 group three core businesses consumer brands segment revived plans list hong kong bourse.	0.05462418
1	2022-03-09	Finance	startup upstream raises .5 million dao box web3 tools upstream raised million valuation investors including boldstart tiger global gary vaynerchuk software tools launch manage web3 collectives known daos.	0.14613195
2	2022-03-09	Finance	tencent meituan jd.com kuaishou lead hong kong internet rebound asian equities mixed day india singapore malaysia thailand posted positive returns.	0.9723862
3	2022-03-09	Stock Market	google cloud sneaky smart double security alphabet googl announced tuesday would acquire mandiant mndt maker cybersecurity software . .4 billion buyout harden google cloud subsidiary expands offerings . big deal . investors consider buying alphabet current weakness.	0.120386645
4	2022-03-09	Finance	russia ukraine war affect finances . . impact russia ukraine conflict wide reaching wide reaching fact conflict reach way right wallet . five ways russian ukraine war could affect finances.	-0.3176291
5	2022-03-09	Finance	risk corona hangover recession surging risk corona hangover recession surging	-0.9074243
6	2022-03-09	Finance	dow jumps 700 points oil prices fall worries far stocks rallied recently surging oil prices fell nearly 10 percent wednesday.	-0.9751296
7	2022-03-09	Finance	university must pay million false claims student loans student loan borrowers could get student loan relief university.	-0.34362423
8	2022-03-09	Cryptocurrencies	crypto exchange kraken use russian trading fees help provide million donations ukraine customers cryptocurrency exchanges continue business russian traders kraken hopes diverting fees toward donations ukrainian clients avert regulatory pressure condemnation.	0.3326312
9	2022-03-09	Finance	alarming news important retirement decision metlife studied results lump sum choices bad news many retirees good result...good news society actuaries research institute resources help retirees make good decisions.	0.061669495
10	2022-03-09	Stock Market	delta airlines stock roars back oil prices pivot lower shares delta airlines dal roaring back today oil prices fell 10 percent.	-0.8654151
11	2022-03-09	Stock Market	energy stocks surging oil gas prices keep climbing relief sight surging energy prices roiled markets shares oil gas companies skyrocketed.	-0.9265238
12	2022-03-09	Finance	despite ukraine markets still see aggressive fed action year seen many important events recent weeks markets still believe fed course hike rates materially remainder 2022. fact ukraine conflict began.	-0.20585687
13	2022-03-09	Finance	real reason behind surging gas prices gas prices surge . blame biden . others blame russia . real reason find inside.	-0.24000281
14	2022-03-09	Finance	three reasons 2021 risky year retire 3 million americans decided retire early amid covid 19 pandemic . long many may start view great resignation great big mistake.	-0.3974145
15	2022-03-09	Finance	supplementary review united natural foods unfi march 9 2022 fiscal 2022 q2 net sales rose 7.5 percent prior year .42 billion strong growth across sales channels made modest anticipated market contraction continued deterioration fill rates . sales wholesale retail segments 8.1 percent 1.6 percent .77 ...	0.5038845
