	header	desc	author	date
0	Singapore Tycoon Kwek Leng Beng’s CDL Suburban Housing Project Sees Robust Sales Despite Property Curbs	City Developments has sold 77% of its residential units at Piccadilly Grand, a residential condominium it is jointly developing with Hongkong Land unit MCL Land just outside the Singapore central business district, despite the government’s property cooling measures.	Jonathan Burgos	3 hours ago
1	Billionaire Ng Family’s Far East, Perennial To Buy Singapore CBD Property For $504 Million	Far East Organization and Sino Land have partnered with Perennial Holdings to buy the iconic Golden Mile Complex on the edge of the Singapore central business district for S$700 million, adding to signs of robust demand for older properties earmarked for redevelopment in the financial hub.	Jonathan Burgos	6 hours ago
2	Hong Kong Stock Exchange Closed For Buddha’s Birthday On May 9	Bourses in mainland China remain open	Russell Flannery	7 hours ago
3	On the 61st Anniversary Of His ‘Vast Wasteland’ Speech, Honor Newton Minow With A Public Option For Social Media.	Congress's answer 55 years ago to Newt Minow's 'vast wasteland' speech on commercial television was the Public Broadcasting Act. The PBA to this day brings you PBS and NPR via the Corporation for Public Broadcasting (CPB). It's time now to add a 'public option' for social media to CPB's portfolio.	Robert Hockett	12 hours ago
4	Stocks This Week: Sell Short Bed, Bath, And Beyond And D.H. Horton	A tradable low is unlikely until late June. Here are short sales selections.	Bill Sarubbi	12 hours ago
5	Volatility Stays High With No Bottom In Sight	The market declines that last longer than you expect mean you have to identify a series of support levels and determine which levels you can tolerate. Protective stops are important when the downside targets are exceeded, and patience is critical to avoid buying too early.	Tom Aspray	13 hours ago
6	Review Of “Only The Rich Can Play” By David Wessel	It was a you-can’t-make-this-up moment of nerdy-billionaire excess. Each of the 364 guests was outfitted in a Lord of the Rings costume made by the designer who won an Oscar for the moviel	Peter J Reilly	14 hours ago
7	Ask Larry: Will The 2022 COLA Apply To Benefit Rates For People Born In 1960?	Today's Social Security column addresses questions about who will and who will not have the 2022 COLA applied to their benefit rates, what happens to divorced spousal benefits when an ex dies and whether SSA actually overpaid benefits.	Laurence Kotlikoff	16 hours ago
8	Dr. Fauci Diagnoses China’s Bad Economic Habits	China’s stubborn embrace of lockdowns is out of step with the Omicron phase of the pandemic.	William Pesek	21 hours ago
9	Four Lessons From Warren Buffett And Charlie Munger	Buffett and Munger’s partnership in managing Berkshire Hathaway has produced arguably the most remarkable extended performance for investors ever recorded. As market volatility has ramped up along with uncertainty, it is an optimal time to revisit four timeless lessons.	Bill Stone	21 hours ago
10	5 Apps To Help Teens Start Investing	Here are 5 apps that can help parents teach their children how to invest.	Rob Berger	22 hours ago
11	Crypto Brings Transparency, But Crypto Reporting Needs To Catch Up	Lack of consistent crypto reporting continues to be a drag on the sector	Sean Stein Smith	22 hours ago
12	Analyst Believes Bitcoin Could Soon Fall To $30,000	Carter Braxton Worth, a technical analyst, believes that Bitcoin could break below its support levels and soon fall to $30,000.	Chuck Jones	22 hours ago
13	The Best Mid-Cap Dividend Stocks For 2022	Mid-cap dividend stocks are the best bargain on the board right now.	Brett Owens	24 hours ago
14	How To Optimize The Energy We Put Into Financial Planning	Studies suggest that up to 80% of financial planning recommendations are never implemented! Here's how to optimize the energy we put into financial planning.	Tim Maurer	24 hours ago
